id,name,brand,supplier,supplier_rating,rating,review_rating,feedbacks,price_basic,price_sale,discount_pct
1004114580,Ноутбук 15. 6 дюймов для работы и игр 16 ГБ 512 ГБ,SANCYT,Цифровая победа Брауна,4.6,5,5.0,4,54253.0,19140.0,64.7
1032240227,"Ноутбук Vivobook Go 15 15.6"" Ryzen 5 40 8GB 512GB 610M",,Топкомпьютер,4.8,0,0.0,0,55590.0,41139.0,26.0
1029059103,ноутбук MagicBook X16 2025-i7 16Гб+1TB серый,HONOR,Мировая электроника,4.9,5,5.0,13,69019.0,52799.0,23.5
695126429,Ноутбук Gadget E10 GRBook Ryzen 9 7845HX 32Gb SSD1Tb RTX 507,Acer,СИТИЛИНК Доставка,4.8,0,0.0,0,193633.0,150840.0,22.1
695080676,Ноутбук Gadget E10 GRBook Ryzen 9 7845HX 32Gb SSD1Tb RTX 506,Acer,СИТИЛИНК Доставка,4.8,5,5.0,4,195568.0,152347.0,22.1
1015093663,Ноутбук Core i5 1 ТБ С подсветкой клавиатуры,LONGXIA,longxia,4.5,5,4.6,96,46000.0,19708.0,57.2
643224136,Ноутбук ProArt P16 H7606WX-SE042X (90NB17E1-M002W0),Asus,ХОБОТ ДОСТАВИТ,4.8,0,0.0,0,711260.0,554071.0,22.1
927048200,"Ноутбук для работы и учебы 15.6"" Intel i9 32 ГБ +2048ГБ",,Nick,4.9,5,5.0,9,45716.0,18674.0,59.2
676662082,"Ноутбук ThinkPad E16 G2 Ryzen 7 7735U 16Gb SSD512Gb 680M 16""",Lenovo,СИТИЛИНК Доставка,4.8,5,5.0,1,101588.0,76762.0,24.4
256576727,"Ноутбук для работы и учебы 15.6"" N5095A 8 ГБ 256 ГБ M.2 SSD",Cooyes,COOYES Официальный Магазин,4.8,5,4.6,48,19543.0,16152.0,17.4
1001433595,"Ноутбук 15.6"" 16ГБ+2048ГБ для игр и учебы",,Starlight Tech,4.7,0,0.0,0,42000.0,17667.0,57.9
1017075403,"Ноутбук 18.5"" i5 16ГБ 2ТБ SSD WiFi6 10000мАч",,Official Laptop Store,4.6,5,5.0,4,80002.0,51745.0,35.3
1085718156,Ноутбук FU61 i7-6820HQ 16GB 1TB SSD,PWR,Comp Comp,4.7,0,0.0,0,106000.0,41287.0,61.0
596821557,Ноутбук AMD Ryzen 7 20ГБ 1TB умный трекпад 4-ядра,Vicyoung,Official Laptop Store,4.6,5,5.0,7,57144.0,42344.0,25.9
720747858,"Ноутбук игровой ProArt 16"" OLED Touch R9 32Гб 2Тб RTX 5070Ti",Asus,СИТИЛИНК Доставка,4.8,0,0.0,0,386778.0,301300.0,22.1
837187733,Ноутбук LOQ 17IRX10 i5 13450HX 16Gb SSD512Gb RTX5050 8Gb 17,Lenovo,СИТИЛИНК Доставка,4.8,0,0.0,0,142991.0,111389.0,22.1
961639614,Ноутбук игровой TUF Gaming F16 FX608JMI-TU254 16 16 512 ГБ,Asus,СИТИЛИНК Доставка,4.8,0,0.0,0,146818.0,114371.0,22.1
642882025,Ноутбук Predator Helios PHN16S-71-72PG Ul7 255HX 32Gb SSD1Tb,Acer,СИТИЛИНК Доставка,4.8,0,0.0,0,229858.0,179059.0,22.1
